<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z004E0116/PHZ51	0.004892118	0.0089388285	0.008831213	-0.02245618	0.021961175
Z004E0118/PHZ51	0.007118674	-0.013534465	-0.0014017844	-0.033600904	0.0012505836
Z004E0121/PHZ51	-0.002436054	-0.010550597	-0.0075143958	-0.030081453	-0.004759479
Z004E0123/PHZ51	0.008733036	0.0027894406	-0.03175607	-0.007879904	0.0046213777
Z004E0125/PHZ51	0.020960586	0.017441086	-0.004735035	0.015155148	0.0150163025
Z004E0127/PHZ51	0.0194568	0.014118765	0.025050659	-0.019656247	0.019410782
Z004E0131/PHZ51	-0.003901665	-0.016897801	-0.008341538	0.0069663236	0.009515223
Z004E0132/PHZ51	0.009121817	0.0039959056	-0.029792037	-0.016386729	0.028288104
Z004E0133/PHZ51	0.0046105627	3.405586E-4	-0.029742278	-0.011001533	-0.008166954
Z004E0137/PHZ51	0.009663938	0.0034907362	0.0074797925	-0.021059448	-0.011307248
Z004E0142/PHZ51	0.018271893	0.02885221	-0.01337494	-0.0037140935	0.018569134
Z004E0143/PHZ51	0.03492743	0.021631477	-0.011464718	-0.010029133	-0.008484253
Z004E0150/PHZ51	0.036906064	0.012809848	-0.014041847	-0.014580602	0.003173108
Z004E0156/PHZ51	0.01804707	0.010638697	0.016977279	-0.020681122	-0.001968426
Z004E0160/PHZ51	0.01859131	0.006707289	-0.012665429	0.0037235783	0.018256163
Z004E0161/PHZ51	0.014067971	0.02460534	-0.011535338	-0.0029503892	0.009854805
Z004E0163/PHZ51	0.007127966	-0.007860499	0.016083024	0.013215037	0.016352037
Z004E0165/PHZ51	0.008112258	-0.006193732	0.006362283	-0.023337154	0.01645256
Z004E0167/PHZ51	0.023010349	-0.020322654	-0.018927127	0.014273332	-0.0058318577
Z004E0170/PHZ51	0.012627919	0.017331013	0.02239932	-0.011858157	0.015515046
Z004E0173/PHZ51	0.015418562	0.013998332	0.02123608	-0.0051485165	0.009154665
Z004E0178/PHZ51	0.030476311	0.012866073	-0.010255692	-0.00664447	-0.015377786
Z004E0180/PHZ51	0.022378432	-0.015052986	-0.020830993	0.004830971	0.03195835
Z004E0181/PHZ51	0.004545765	0.0028133302	-0.03418061	-0.012714025	-0.00712843
Z004E0186/PHZ51	0.0015409706	-0.0049874517	-0.022674536	-0.012600483	-0.0046863407
Z004E0198/PHZ51	0.0031937116	-0.008079302	-0.024886958	0.013682057	-0.007055247
Z004E0200/PHZ51	0.0063468236	-0.024038488	0.012782354	0.0039784517	0.014727997
Z005E0003/PHZ51	-6.841769E-4	-5.821122E-4	-0.020302504	-0.008490026	-0.0020115252
Z005E0007/PHZ51	-5.4051523E-4	-0.027932141	0.008281315	-6.8659894E-5	-0.006656125
Z005E0010/PHZ51	0.011948852	-0.014069144	-0.009573244	0.01724373	0.007761332
Z005E0017/PHZ51	-9.985641E-4	0.013324802	-0.013846143	0.0015149517	0.0030689214
Z005E0020/PHZ51	0.010338162	-0.0028420966	-0.01729111	-0.002294839	0.0026839925
Z005E0027/PHZ51	0.011781473	-4.8159764E-4	0.017299043	-0.01210092	-0.024334315
