line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
Z24-E170	154	116	154	128	1936761.4	0.75
Z24-E172	161	131	170	134	2507310.5	0.82
Z24-E180	150	145	179	124	2893976.75	0.96
Z24-E182	142	154	186	116	3167414	1.09
Z24-E183	151	222	255	129	8049447	1.47
Z24-E186	165	171	209	134	4902025.25	1.03
Z24-E188	141	135	168	119	2438234.5	0.95
Z24-E189	144	98	134	116	1464650.667	0.67
Z24-E19	160	213	254	150	7376130	1.33
Z24-E191	170	186	224	143	5759001.2	1.09
Z24-E192	144	204	239	116	6096663	1.41
Z24-E193	160	161	199	137	3890716.75	1.01
Z24-E195	149	145	182	129	3002225	0.98
Z24-E196	154	141	176	128	2894160.6	0.91
Z24-E199	154	165	200	131	4017246.4	1.07
Z24-E2	144	129	161	120	2318647.6	0.89
Z24-E20	151	161	192	129	3707021.6	1.06
Z24-E21	125	152	176	103	2960744	1.21
Z24-E22	158	132	169	131	2727183.4	0.84
Z24-E23	154	171	203	129	4355237.4	1.10
Z24-E24	142	130	164	123	2227906.8	0.92
Z24-E25	176	222	265	158	8501981.6	1.26
Z24-E27	149	139	171	125	2774685.667	0.93
Z24-E28	154	117	150	129	1987060.5	0.76
Z24-E29	145	170	200	121	3980808.8	1.17
Z24-E30	163	145	183	145	3158117.5	0.89
Z24-E31	167	184	223	145	5714205.6	1.09
Z24-E33	165	184	221	145	5315199.75	1.12
Z24-E34	153	166	200	128	3951645.25	1.09
Z24-E35	155	178	211	133	4751087.667	1.15
Z24-E36	142	182	211	114	4862346.667	1.27
Z24-E37	166	163	205	142	4143287.8	0.98
Z24-E38	142	124	157	118	2020932	0.87
Z24-E40	132	140	172	116	2483375	1.05
Z24-E41	157	208	252	148	6920187	1.32
Z24-E42	146	199	230	130	6004186.75	1.36
Z24-E43	151	143	177	127	2925969	0.94
